"","country","date","E","C","TR","Y","URB"
"4478","Tonga",2005,539.604100991168,1.27611636515104,74.70957781801,3701.82629692657,23.155
"4479","Tonga",2006,536.773707505415,1.40597043036067,66.4809745971954,3676.93569133398,23.184
"4480","Tonga",2007,543.896172096251,1.20032258669517,70.4414052130533,3671.41453263701,23.227
"4481","Tonga",2008,NA,1.19047619047619,68.6624461443502,3835.23923188552,23.281
"4482","Tonga",2009,NA,1.28238632121257,78.1388602594987,3628.64692180456,23.335
"4483","Tonga",2010,NA,1.09142042967695,73.1896104241153,3649.66165182668,23.389
"4484","Tonga",2011,NA,0.99339286875877,78.7838092467914,3890.24573192531,23.443
"4485","Tonga",2012,NA,1.0139346244721,78.041441525229,3926.24337204064,23.435
"4486","Trinidad and Tobago",1990,4727.38484569505,10.3852452156227,NA,6011.55793948418,54.124
"4487","Trinidad and Tobago",1991,4662.67990572188,10.2221867007673,NA,6151.51977890611,54.308
"4488","Trinidad and Tobago",1992,5088.83377855499,10.2262773609065,NA,6723.51225804636,54.491
"4489","Trinidad and Tobago",1993,4838.27804886342,8.28671982590067,NA,6634.79812856695,54.674
"4490","Trinidad and Tobago",1994,4838.6890047818,6.75629882748716,NA,6832.30036612042,54.857
"4491","Trinidad and Tobago",1995,4702.00455413657,6.5900405406852,NA,7057.73920104427,55.04
"4492","Trinidad and Tobago",1996,5536.94818315956,7.00065629487283,NA,7528.96444565965,55.224
"4493","Trinidad and Tobago",1997,5200.73040599437,7.35154998858266,NA,8066.26589198209,55.406
"4494","Trinidad and Tobago",1998,6018.61524363135,7.50356124279056,NA,8692.59271893894,55.589
"4495","Trinidad and Tobago",1999,7003.62831304919,7.45993219613537,NA,9358.37959211004,55.771
"4496","Trinidad and Tobago",2000,7385.69347164058,7.65994371728633,NA,9965.63597128297,55.905
"4497","Trinidad and Tobago",2001,8208.75757433136,8.68167226593813,NA,10331.7008478009,55.718
"4498","Trinidad and Tobago",2002,8883.20118517286,9.41956842827891,NA,11090.4116823468,55.53
"4499","Trinidad and Tobago",2003,9879.01648112959,11.4165881076992,NA,12620.8630652119,55.343
"4500","Trinidad and Tobago",2004,10312.2022786246,11.831348279277,NA,13547.9181209801,55.155
"4501","Trinidad and Tobago",2005,11771.6012636269,12.8482369483045,NA,14306.0387086198,54.967
"4502","Trinidad and Tobago",2006,13059.4987795215,14.5705012422662,NA,16103.3260339733,54.779
"4503","Trinidad and Tobago",2007,13810.5434408219,14.8001857226104,NA,16772.170878775,54.59
"4504","Trinidad and Tobago",2008,13332.3628682592,14.3762613951865,NA,17242.1572595127,54.402
